Kannada,English
ಒಂದು,a
ತ್ಯಜಿಸು,abandon
ಸಾಮರ್ಥ್ಯ,ability
ಸಮರ್ಥ,able
ಗರ್ಭಪಾತ,abortion
ಬಗ್ಗೆ,about
ಮೇಲೆ,above
ವಿದೇಶದಲ್ಲಿ,abroad
ಅನುಪಸ್ಥಿತಿ,absence
ಸಂಪೂರ್ಣ,absolute
ಸಂಪೂರ್ಣವಾಗಿ,absolutely
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,absorb
ನಿಂದನೆ,abuse
ಶೈಕ್ಷಣಿಕ,academic
ಒಪ್ಪಿಕೊಳ್ಳಿ,accept
ಪ್ರವೇಶ,access
ಅಪಘಾತ,accident
ಜೊತೆಯಲ್ಲಿ,accompany
ಸಾಧಿಸು,accomplish
ಪ್ರಕಾರ,according
ಖಾತೆ,account
ನಿಖರವಾದ,accurate
ಆರೋಪಿಸುತ್ತಾರೆ,accuse
ಸಾಧಿಸು,achieve
ಸಾಧನೆ,achievement
ಆಮ್ಲ,acid
ಅಂಗೀಕರಿಸಿ,acknowledge
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳಿ,acquire
ಅಡ್ಡಲಾಗಿ,across
ಕಾರ್ಯ,act
ಕ್ರಮ,action
ಸಕ್ರಿಯ,active
ಕಾರ್ಯಕರ್ತ,activist
ಚಟುವಟಿಕೆ,activity
ನಟ,actor
ನಟಿ,actress
ನಿಜವಾದ,actual
ವಾಸ್ತವವಾಗಿ,actually
ಜಾಹೀರಾತು,ad
ಅಳವಡಿಸಿಕೊಳ್ಳಿ,adapt
ಸೇರಿಸಿ,add
ಸೇರ್ಪಡೆ,addition
ಹೆಚ್ಚುವರಿ,additional
ವಿಳಾಸ,address
ಸಮರ್ಪಕ,adequate
ಸರಿಹೊಂದಿಸು,adjust
ಹೊಂದಾಣಿಕೆ,adjustment
ಆಡಳಿತ,administration
ನಿರ್ವಾಹಕ,administrator
ಅಚ್ಚುಮೆಚ್ಚು,admire
ಪ್ರವೇಶ,admission
ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೇನೆ,admit
ಹರೆಯದ,adolescent
ಅಳವಡಿಸಿಕೊಳ್ಳಿ,adopt
ವಯಸ್ಕ,adult
ಮುಂಗಡ,advance
ಮುಂದುವರಿದ,advanced
ಅನುಕೂಲ,advantage
ಸಾಹಸ,adventure
ಜಾಹೀರಾತು,advertising
ಸಲಹೆ,advice
ಸಲಹೆ ನೀಡಿ,advise
ಸಲಹೆಗಾರ,adviser
ವಕೀಲ,advocate
ಸಂಬಂಧ,affair
ಪರಿಣಾಮ,affect
ಭರಿಸು,afford
ಹೆದರಿದ,afraid
ಆಫ್ರಿಕನ್,African
ಆಫ್ರಿಕನ್ ಅಮೆರಿಕನ್,African-American
ನಂತರ,after
ಮಧ್ಯಾಹ್ನ,afternoon
ಮತ್ತೆ,again
ವಿರುದ್ಧ,against
ವಯಸ್ಸು,age
ಸಂಸ್ಥೆ,agency
ಕಾರ್ಯಸೂಚಿ,agenda
ಏಜೆಂಟ್,agent
ಆಕ್ರಮಣಕಾರಿ,aggressive
ಹಿಂದೆ,ago
ಒಪ್ಪುತ್ತೇನೆ,agree
ಒಪ್ಪಂದ,agreement
ಕೃಷಿ,agricultural
ಮುಂದೆ,ahead
ನೆರವು,aid
ಸಹಾಯಕ,aide
ಏಡ್ಸ್,AIDS
ಗುರಿ,aim
ಗಾಳಿ,air
ವಿಮಾನ,aircraft
ವಿಮಾನಯಾನ,airline
ವಿಮಾನ ನಿಲ್ದಾಣ,airport
ಆಲ್ಬಮ್,album
ಮದ್ಯ,alcohol
ಜೀವಂತವಾಗಿ,alive
ಎಲ್ಲಾ,all
ಮೈತ್ರಿ,alliance
ಅವಕಾಶ,allow
ಮಿತ್ರ,ally
ಬಹುತೇಕ,almost
ಏಕಾಂಗಿಯಾಗಿ,alone
ಜೊತೆಗೆ,along
ಈಗಾಗಲೇ,already
ಸಹ,also
ಬದಲಾಯಿಸು,alter
ಪರ್ಯಾಯ,alternative
ಆದರೂ,although
ಯಾವಾಗಲೂ,always
ನಾನು,am
ಅದ್ಭುತ,amazing
ಅಮೇರಿಕನ್,American
ನಡುವೆ,among
ಮೊತ್ತ,amount
ಒಂದು,an
ವಿಶ್ಲೇಷಣೆ,analysis
ವಿಶ್ಲೇಷಕ,analyst
ವಿಶ್ಲೇಷಿಸು,analyze
ಪ್ರಾಚೀನ,ancient
ಮತ್ತು,and
ಕೋಪ,anger
ಕೋನ,angle
ಕೋಪಗೊಂಡ,angry
ಪ್ರಾಣಿ,animal
ವಾರ್ಷಿಕೋತ್ಸವ,anniversary
ಘೋಷಿಸಿ,announce
ವಾರ್ಷಿಕ,annual
ಇನ್ನೊಂದು,another
ಉತ್ತರ,answer
ನಿರೀಕ್ಷಿಸಿ,anticipate
ಆತಂಕ,anxiety
ಯಾವುದಾದರು,any
ಯಾರಾದರೂ,anybody
ಇನ್ನು ಮುಂದೆ,anymore
ಯಾರಾದರೂ,anyone
ಏನು,anything
ಹೇಗಾದರೂ,anyway
ಎಲ್ಲಿಯಾದರೂ,anywhere
ಹೊರತುಪಡಿಸಿ,apart
ಅಪಾರ್ಟ್ಮೆಂಟ್,apartment
ಸ್ಪಷ್ಟ,apparent
ಸ್ಪಷ್ಟವಾಗಿ,apparently
ಮನವಿಯನ್ನು,appeal
ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತವೆ,appear
ನೋಟ,appearance
ಸೇಬು,apple
ಅಪ್ಲಿಕೇಶನ್,application
ಅನ್ವಯಿಸು,apply
ನೇಮಕ,appoint
ನೇಮಕಾತಿ,appointment
ಪ್ರಶಂಸಿಸುತ್ತೇವೆ,appreciate
ಅನುಸಂಧಾನ,approach
ಸೂಕ್ತ,appropriate
ಅನುಮೋದನೆ,approval
ಅನುಮೋದಿಸಿ,approve
ಸರಿಸುಮಾರು,approximately
ಅರಬ್,Arab
ವಾಸ್ತುಶಿಲ್ಪಿ,architect
ಇವೆ,are
ಪ್ರದೇಶ,area
ವಾದಿಸುತ್ತಾರೆ,argue
ವಾದ,argument
ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತವೆ,arise
ತೋಳು,arm
ಶಸ್ತ್ರಸಜ್ಜಿತ,armed
ಸೇನೆ,army
ಸುತ್ತಲೂ,around
ವ್ಯವಸ್ಥೆ ಮಾಡಿ,arrange
ವ್ಯವಸ್ಥೆ,arrangement
ಬಂಧನ,arrest
ಆಗಮನ,arrival
ಆಗಮಿಸು,arrive
ಕಲೆ,art
ಲೇಖನ,article
ಕಲಾವಿದ,artist
ಕಲಾತ್ಮಕ,artistic
ನಂತೆ,as
ಏಷ್ಯನ್,Asian
ಪಕ್ಕಕ್ಕೆ,aside
ಕೇಳು,ask
ನಿದ್ದೆ,asleep
ಅಂಶ,aspect
